City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,ola,59.5833,151.2833,14.27,66,1,1.33,RU,1690228218
147,severnoye,56.3491,78.3619,14.34,93,58,2.28,RU,1690228218
148,siwa oasis,29.2041,25.5195,35.33,22,0,8.7,EG,1690228223
149,barda,40.3744,47.1267,29.6,41,82,2.34,AZ,1690228223
150,chanika,-5.4167,38.0167,17.68,99,17,1.67,TZ,1690228224
151,lohardaga,23.4333,84.6833,24.13,86,79,2.15,IN,1690228224
152,narasannapeta,18.4167,84.05,27.0,85,100,3.26,IN,1690228224
153,nabire,-3.3667,135.4833,24.29,90,98,2.46,ID,1690228224
154,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,5.91,EC,1690228224
155,namibe,-15.1961,12.1522,18.42,81,100,3.1,AO,1690228224
156,boundiali,9.5217,-6.4869,22.78,95,100,0.76,CI,1690228225
157,leninskoye,41.7589,69.3864,27.43,24,0,1.95,KZ,1690228225
158,kaoma,-14.7833,24.8,14.84,35,3,2.83,ZM,1690228225
159,new plymouth,-39.0667,174.0833,13.23,90,23,5.32,NZ,1690228068
160,galesong,-5.3166,119.3661,22.01,77,13,3.11,ID,1690228225
161,avarua,-21.2078,-159.775,23.03,88,75,2.06,CK,1690228226
162,esperanza,19.5847,-70.9849,33.5,55,70,4.02,DO,1690228226
163,utrik,11.2278,169.8474,28.33,77,87,7.47,MH,1690228226
164,egilsstadir,65.2653,-14.3948,7.95,87,75,5.66,IS,1690228226
165,vilyuchinsk,52.9306,158.4028,15.15,84,22,4.62,RU,1690228226
166,posto fiscal rolim de moura,-13.0833,-62.2667,35.46,17,0,0.56,BR,1690228226
167,iskateley,67.6803,53.1512,16.17,74,100,2.26,RU,1690228227
168,taro,-8.3862,115.28,22.0,93,99,0.51,ID,1690228227
169,viqueque,-8.8673,126.3658,19.85,80,97,1.89,TL,1690228227
170,guanica,17.9716,-66.908,33.32,69,56,6.98,PR,1690228227
171,punta del este,-34.9667,-54.95,10.06,89,100,0.89,UY,1690228227
172,tequisquiapan,20.5167,-99.8667,23.56,49,96,5.51,MX,1690228227
173,canutama,-6.5339,-64.3831,35.8,23,45,1.32,BR,1690228228
174,araguari,-18.6472,-48.1872,26.16,40,93,1.71,BR,1690228228
175,port blair,11.6667,92.75,25.02,94,100,0.0,IN,1690228209
176,conde,-7.2597,-34.9075,26.7,74,20,6.69,BR,1690228228
177,panacan,9.2463,118.4082,26.56,86,100,5.04,PH,1690228228
178,tsiroanomandidy,-18.7667,46.0333,19.27,54,67,0.36,MG,1690228228
179,baotou,40.6522,109.8222,23.85,43,3,4.52,CN,1690228229
180,saint-pierre,-21.3393,55.4781,19.82,77,0,3.09,RE,1690228229
181,tionk essil,12.7856,-16.5217,27.98,79,87,3.46,SN,1690228229
182,kecskemet,46.9062,19.6913,28.18,47,0,2.06,HU,1690228230
183,richfield,44.8833,-93.283,33.37,51,75,7.2,US,1690228230
184,markovo,57.3206,107.0881,17.99,77,99,1.25,RU,1690228230
185,otaru,43.1894,141.0022,23.35,93,89,2.31,JP,1690228185
186,nushki,29.5542,66.0215,28.14,58,100,1.46,PK,1690228083
187,qaqortoq,60.7167,-46.0333,6.96,87,80,3.58,GL,1690228235
188,harpswell center,43.8018,-69.9842,29.97,75,66,4.02,US,1690228236
189,kapa'a,22.0752,-159.319,28.18,77,100,7.2,US,1690228236
190,labytnangi,66.6572,66.4183,19.07,62,100,2.93,RU,1690228236
191,klyuchi,52.2667,79.1667,19.5,59,16,3.76,RU,1690228236
192,korla,41.7597,86.1469,28.06,33,100,5.91,CN,1690228237
193,maxixe,-23.8597,35.3472,19.91,93,0,2.24,MZ,1690228237
194,reuleuet,5.2167,96.2833,26.25,68,69,1.92,ID,1690228237
195,shantobe,52.4581,68.1839,16.28,56,78,0.71,KZ,1690228237
196,lihue,21.9789,-159.3672,27.77,71,100,7.2,US,1690228238
197,port macquarie,-31.4333,152.9167,8.83,92,22,3.97,AU,1690228008
198,novodvinsk,64.4165,40.8122,11.29,97,60,2.08,RU,1690228238
199,battagram,34.6772,73.0233,22.92,84,18,1.4,PK,1690228238
200,novy bydzov,50.2415,15.4908,24.15,56,100,5.5,CZ,1690228239
201,gadzhiyevo,69.2551,33.3362,9.2,97,100,5.69,RU,1690228239
202,oyama,36.3,139.8,25.75,79,3,0.97,JP,1690228239
203,sumbe,-11.2061,13.8437,20.39,92,77,1.39,AO,1690228239
204,salinopolis,-0.6136,-47.3561,27.67,76,26,4.97,BR,1690228239
205,mata-utu,-13.2816,-176.1745,26.69,76,100,8.37,WF,1690228240
206,chinchani,19.8667,72.7,26.81,88,89,8.35,IN,1690228240
207,sarkand,45.41,79.9186,21.78,28,0,3.35,KZ,1690228240
208,pratt,37.6439,-98.7376,36.48,38,0,5.14,US,1690228240
209,babolsar,36.7025,52.6576,26.18,72,35,2.86,IR,1690228240
210,sao joao da barra,-21.6403,-41.0511,26.05,79,0,5.41,BR,1690228121
211,yuci,37.6803,112.7319,21.86,60,0,3.0,CN,1690228241
212,el calafate,-50.3408,-72.2768,-5.05,83,100,0.36,AR,1690228241
213,kill devil hills,36.0307,-75.676,28.0,75,75,3.6,US,1690228241
214,puerto vilelas,-27.5141,-58.9391,17.04,72,0,4.12,AR,1690228241
215,susuman,62.7833,148.1667,13.69,61,25,1.29,RU,1690228242
216,santyoku,37.4406,129.1708,24.38,86,100,2.98,KR,1690228242
217,kitimat,54.0524,-128.6534,16.21,54,100,0.74,CA,1690228217
218,palu,-0.8917,119.8707,23.9,96,31,0.86,ID,1690228242
219,urangan,-25.3,152.9,18.16,77,49,9.37,AU,1690228242
220,turpan,42.9333,89.1667,33.97,23,65,0.5,CN,1690228242
221,naze,28.3667,129.4833,27.51,83,100,5.18,JP,1690228242
222,kapit,2.0167,112.9333,23.63,98,100,0.56,MY,1690228243
223,coxen hole,16.3244,-86.5366,30.6,66,20,10.29,HN,1690228243
224,mbeya,-8.9,33.45,13.35,78,11,2.59,TZ,1690228243
225,charters towers,-20.1,146.2667,10.28,91,53,3.65,AU,1690228243
226,poronaysk,49.2167,143.1167,16.67,96,87,0.76,RU,1690228243
227,sierra grande,-41.606,-65.3557,7.06,59,95,8.69,AR,1690228243
228,bridgewater,44.3835,-64.5155,30.06,58,85,9.26,CA,1690228244
229,beau vallon,-20.4189,57.6953,23.13,83,75,4.63,MU,1690228244
230,uglegorsk,49.0833,142.0333,17.87,91,89,0.58,RU,1690228244
231,westport,41.1415,-73.3579,31.16,57,0,4.12,US,1690228244
232,chicoana,-25.1009,-65.5331,12.03,44,47,2.16,AR,1690228244
233,yemetsk,63.4721,41.7941,11.75,96,89,1.66,RU,1690228244
234,anadyr,64.75,177.4833,11.28,87,75,6.0,RU,1690228244
235,keflavik,64.0049,-22.5624,12.24,76,100,4.12,IS,1690228245
236,levuka,50.1834,-105.4011,31.85,40,75,7.2,CA,1690228245
237,constantia,44.1833,28.65,23.38,73,0,8.59,RO,1690228245
238,ar ruways,24.1103,52.7306,32.2,72,100,1.93,AE,1690228245
239,igarka,67.4667,86.5833,14.6,74,47,2.95,RU,1690228167
240,papao,-17.75,-149.55,27.82,84,6,10.3,PF,1690228245
241,sitka,57.0531,-135.33,15.94,77,20,0.0,US,1690228246
242,cadiz,36.5,-5.75,23.68,76,0,1.42,ES,1690228246
243,new norfolk,-42.7826,147.0587,9.72,85,98,1.63,AU,1690228246
244,xuanzhou,30.9525,118.7553,25.92,87,100,1.45,CN,1690228225
245,atafu village,-8.5421,-172.5159,28.93,70,13,7.87,TK,1690228246
246,gubbi,13.3106,76.9444,21.03,91,100,5.66,IN,1690228246
247,el nido,11.1858,119.3956,26.87,86,100,11.82,PH,1690228246
248,bac lieu,9.285,105.7244,25.47,89,77,3.4,VN,1690228247
249,cockburn town,21.4612,-71.1419,30.98,58,40,5.14,TC,1690228247
250,namtsy,62.7161,129.6658,19.84,74,47,1.85,RU,1690228247
251,mossendjo,-2.9506,12.7261,21.18,78,74,1.14,CG,1690228247
252,laguna,38.421,-121.4238,33.38,30,0,2.57,US,1690228247
253,maria la baja,9.9832,-75.3016,33.74,54,94,1.63,CO,1690228252
254,okha,53.5739,142.9478,15.66,84,99,2.07,RU,1690228252
255,arraial do cabo,-22.9661,-42.0278,23.98,73,0,9.26,BR,1690228253
256,la foa,-21.7108,165.8276,17.28,77,100,2.15,NC,1690228253
257,sola,-13.8833,167.55,25.78,86,94,6.29,VU,1690228253
258,fort bragg,35.139,-79.006,32.47,64,0,2.06,US,1690227731
259,yulinshi,38.2906,109.7494,24.3,42,0,2.87,CN,1690228253
260,belyy yar,53.6039,91.3903,16.94,94,0,1.0,RU,1690228253
261,broome,42.2506,-75.833,28.17,68,40,5.14,US,1690228253
262,hakui,36.8833,136.7833,25.63,75,0,1.11,JP,1690228254
263,zouerate,22.7187,-12.4521,35.15,17,6,6.26,MR,1690228254
264,vernon,50.2581,-119.2691,29.96,23,100,1.54,CA,1690228004
265,hungerford,51.4151,-1.5156,15.94,91,91,2.25,GB,1690228254
266,coahuayana de hidalgo,18.7,-103.6583,31.36,61,100,2.42,MX,1690228254
267,daru,-9.0763,143.2092,24.01,73,100,2.5,PG,1690228254
268,enriquillo,17.9,-71.2333,34.82,59,98,5.08,DO,1690228254
269,esqueda,30.7167,-109.5833,35.94,18,0,0.49,MX,1690228255
270,garoowe,8.4054,48.4845,27.36,52,77,11.99,SO,1690228255
271,guerrero negro,27.9769,-114.0611,26.17,51,99,6.73,MX,1690228255
272,pangody,65.85,74.4859,18.09,81,18,2.77,RU,1690228255
273,mukalla,14.5425,49.1242,31.0,74,100,1.84,YE,1690228255
274,karratha,-20.7377,116.8463,15.72,50,0,6.25,AU,1690228255
275,sarykemer,43.0,71.5,24.71,19,26,2.81,KZ,1690228255
276,carrizo springs,28.5219,-99.8606,39.34,28,40,5.67,US,1690228256
277,taguatinga,-12.3857,-46.5711,30.96,28,29,5.35,BR,1690228256
278,numan,9.4667,12.0333,28.14,57,47,5.02,NG,1690228256
279,bodaybo,57.8506,114.1933,16.15,84,25,0.91,RU,1690228256
280,i-n-salah,27.1935,2.4607,39.84,6,0,7.41,DZ,1690228256
281,enewetak,11.3474,162.3373,28.47,77,63,7.23,MH,1690228256
282,yazman,29.1212,71.7446,33.2,58,100,4.02,PK,1690228256
283,carupano,10.6678,-63.2585,28.27,78,55,5.11,VE,1690228257
284,udachny,66.4167,112.4,13.03,93,25,2.49,RU,1690228257
285,quellon,-43.1167,-73.6167,9.14,87,100,11.32,CL,1690228027
286,stanley,54.868,-1.6985,12.66,80,75,1.03,GB,1690227991
287,natal,-5.795,-35.2094,28.36,65,40,8.75,BR,1690227531
288,nouadhibou,20.931,-17.0347,23.99,69,73,9.77,MR,1690228257
289,moussoro,13.6408,16.4901,30.76,50,54,5.34,TD,1690228257
290,port douglas,-16.4833,145.4667,15.73,53,0,3.46,AU,1690228258
291,changji,44.0167,87.3167,28.44,28,0,3.0,CN,1690228258
292,afaahiti,-17.75,-149.2833,26.93,83,6,9.16,PF,1690228258
293,christchurch,-43.5333,172.6333,5.51,94,100,1.54,NZ,1690228196
294,antofagasta,-23.65,-70.4,18.6,72,35,3.59,CL,1690227708
295,waycross,31.2136,-82.354,33.03,57,40,3.6,US,1690228258
296,taft,31.7471,54.2088,32.97,10,40,5.14,IR,1690228258
297,punta arenas,-53.15,-70.9167,-0.97,77,100,2.38,CL,1690228012
298,arteche,12.2645,125.4048,26.7,79,100,6.02,PH,1690228259
299,goianesia,-15.3175,-49.1175,30.65,25,36,3.56,BR,1690228259
300,hiratacho,35.4333,132.8167,26.01,87,0,2.26,JP,1690228259
301,schuyler,42.4167,-76.883,27.46,65,61,2.79,US,1690228259
302,port hueneme,34.1478,-119.1951,39.0,72,40,5.14,US,1690228260
303,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,1690228260
304,zabaykal'sk,49.6333,117.3167,16.22,88,98,3.29,RU,1690228260
305,gazli,40.1333,63.45,33.52,16,0,5.33,UZ,1690228261
306,belousovka,50.1339,82.5239,14.47,63,87,1.0,KZ,1690228261
307,abakaliki,6.3163,8.1169,22.91,97,96,2.34,NG,1690228261
